fecha,nombre,matematica,ingles,matricula
1/1/2015,"Hernandez, Rodrigo",90,60,100
1/2/2015,"Hernandez, Rodrigo",85,70,100
1/3/2015,"Hernandez, Rodrigo",70,80,100
1/4/2015,"Hernandez, Rodrigo",75,85,100
1/5/2015,"Hernandez, Rodrigo",70,90,100
1/6/2015,"Hernandez, Rodrigo",66,90,100
1/1/2015,"Sanchez, Juan",60,80,102
1/2/2015,"Sanchez, Juan",70,80,102
1/3/2015,"Sanchez, Juan",80,90,102
1/4/2015,"Sanchez, Juan",85,85,102
1/5/2015,"Sanchez, Juan",60,90,102
1/6/2015,"Sanchez, Juan",80,99,102
1/1/2015,"Perez, Roberto",60,60,105
1/2/2015,"Perez, Roberto",76,66,105
1/3/2015,"Perez, Roberto",66,62,105
1/4/2015,"Perez, Roberto",74,70,105
1/5/2015,"Perez, Roberto",66,63,105
1/6/2015,"Perez, Roberto",60,64,105
1/1/2015,"Ramirez, Alberto",50,60,99
1/2/2015,"Ramirez, Alberto",55,65,99
1/3/2015,"Ramirez, Alberto",60,64,99
1/4/2015,"Ramirez, Alberto",55,63,99
1/5/2015,"Ramirez, Alberto",50,66,99
1/6/2015,"Ramirez, Alberto",62,70,99
1/1/2015,"Lopez, Ingrid",90,80,103
1/2/2015,"Lopez, Ingrid",95,85,103
1/3/2015,"Lopez, Ingrid",90,84,103
1/4/2015,"Lopez, Ingrid",95,93,103
1/5/2015,"Lopez, Ingrid",90,86,103
1/6/2015,"Lopez, Ingrid",92,80,103
1/1/2015,"Alvarez, Cecilia",92,71,109
1/2/2015,"Alvarez, Cecilia",81,72,109
1/3/2015,"Alvarez, Cecilia",82,73,109
1/4/2015,"Alvarez, Cecilia",74,84,109
1/5/2015,"Alvarez, Cecilia",86,73,109
1/6/2015,"Alvarez, Cecilia",82,71,109
1/1/2015,"Jimenez, Elena",92,91,98
1/2/2015,"Jimenez, Elena",91,92,98
1/3/2015,"Jimenez, Elena",92,93,98
1/4/2015,"Jimenez, Elena",94,94,98
1/5/2015,"Jimenez, Elena",96,93,98
1/6/2015,"Jimenez, Elena",82,99,98
1/1/2015,"Paz, Beatriz",74,81,110
1/2/2015,"Paz, Beatriz",85,82,110
1/3/2015,"Paz, Beatriz",77,83,110
1/4/2015,"Paz, Beatriz",83,84,110
1/5/2015,"Paz, Beatriz",72,83,110
1/6/2015,"Paz, Beatriz",81,89,110
