fecha,nombre,matematica,ingles,matricula
1/1/2015,"Dominguez, Tomas",75,65,140
1/2/2015,"Dominguez, Tomas",83,62,140
1/3/2015,"Dominguez, Tomas",63,90,140
1/4/2015,"Dominguez, Tomas",94,86,140
1/5/2015,"Dominguez, Tomas",92,65,140
1/6/2015,"Dominguez, Tomas",64,95,140
1/1/2015,"Paz, Edwin",84,67,142
1/2/2015,"Paz, Edwin",63,84,142
1/3/2015,"Paz, Edwin",76,62,142
1/4/2015,"Paz, Edwin",85,90,142
1/5/2015,"Paz, Edwin",71,78,142
1/6/2015,"Paz, Edwin",82,94,142
1/1/2015,"Vasquez, Samuel",61,100,145
1/2/2015,"Vasquez, Samuel",100,91,145
1/3/2015,"Vasquez, Samuel",64,89,145
1/4/2015,"Vasquez, Samuel",92,98,145
1/5/2015,"Vasquez, Samuel",66,83,145
1/6/2015,"Vasquez, Samuel",93,80,145
1/1/2015,"Fuentes, Fernando",65,95,139
1/2/2015,"Fuentes, Fernando",62,95,139
1/3/2015,"Fuentes, Fernando",97,76,139
1/4/2015,"Fuentes, Fernando",85,73,139
1/5/2015,"Fuentes, Fernando",82,60,139
1/6/2015,"Fuentes, Fernando",74,72,139
1/1/2015,"Ayala, Antonio",93,74,143
1/2/2015,"Ayala, Antonio",93,78,143
1/3/2015,"Ayala, Antonio",83,88,143
1/4/2015,"Ayala, Antonio",85,67,143
1/5/2015,"Ayala, Antonio",94,88,143
1/6/2015,"Ayala, Antonio",78,79,143
1/1/2015,"Juarez, Roberto",63,63,149
1/2/2015,"Juarez, Roberto",69,70,149
1/3/2015,"Juarez, Roberto",81,72,149
1/4/2015,"Juarez, Roberto",83,85,149
1/5/2015,"Juarez, Roberto",82,80,149
1/6/2015,"Juarez, Roberto",95,77,149
1/1/2015,"Cifuentes, Melisa",93,64,138
1/2/2015,"Cifuentes, Melisa",91,69,138
1/3/2015,"Cifuentes, Melisa",60,65,138
1/4/2015,"Cifuentes, Melisa",77,99,138
1/5/2015,"Cifuentes, Melisa",64,85,138
1/6/2015,"Cifuentes, Melisa",93,80,138
1/1/2015,"Ventura, Juan",90,84,150
1/2/2015,"Ventura, Juan",79,68,150
1/3/2015,"Ventura, Juan",74,60,150
1/4/2015,"Ventura, Juan",71,88,150
1/5/2015,"Ventura, Juan",85,80,150
1/6/2015,"Ventura, Juan",70,66,150
